"_id","code","name","semester","course","active","__v","createdAt","updatedAt"
"62133f9eeda52dc24a137000","GEE15-T","Living in the IT Era (Free Elective)","Second Term","[object Object]","true","0","2022-02-21T07:30:38.557Z","2022-02-21T07:30:38.557Z"
"62133f9eeda52dc24a137006","ITCI231-T","Multimedia and Authoring (lec/lab)","Third Term","[object Object]","true","0","2022-02-21T07:30:38.558Z","2022-02-21T07:30:38.558Z"
"62133f9eeda52dc24a137008","GEC3-T","The Contemporary World","Third Term","[object Object]","true","0","2022-02-21T07:30:38.558Z","2022-02-21T07:30:38.558Z"
"62133f9eeda52dc24a137009","ITAS311-T","Information Assurance and Security 2","First Term","[object Object]","true","0","2022-02-21T07:30:38.558Z","2022-02-21T07:30:38.558Z"
"62133f9eeda52dc24a137010","ITMS322-T","Probability and Statistics","Second Term","[object Object]","true","0","2022-02-21T07:30:38.560Z","2022-02-21T07:30:38.560Z"
"62133f9eeda52dc24a137012","ITMR320-T","Quantitative Methods","Second Term","[object Object]","true","0","2022-02-21T07:30:38.560Z","2022-02-21T07:30:38.560Z"
"62133f9eeda52dc24a137019","ITSP330-T","Social and Professional Issues","Third Term","[object Object]","true","0","2022-02-21T07:30:38.561Z","2022-02-21T07:30:38.561Z"
"62133f9eeda52dc24a13701d","ITEP412-T","IT Professional Elective 3","null","[object Object]","true","0","2022-02-21T07:30:38.563Z","2022-02-21T07:30:38.563Z"
"6220771070461685f6f8aca9","K-95.5","Discreate Domain expansion","Second Term","[object Object]","true","0","2022-03-03T08:06:40.099Z","2022-03-03T08:11:51.810Z"
"622b5cbe4a45de22a6da6b50","TESTING-Ta","Dummy Course editeda","3","[object Object]","true","0","2022-03-11T14:29:18.525Z","2022-03-11T14:29:18.525Z"
"622ee44187ce65121bceda70","TESTING-T","Dummy Courseasda","3","[object Object]","true","0","2022-03-14T06:44:17.476Z","2022-03-14T06:44:17.476Z"
